;Nome;RA;Frequencia;Prova_1;Prova_2;Prova_3;Prova_4;aaaa;np_nan;média;media_2;soma_strings;media_em_coluna
0;Antonio Carlos;110201.0;20.0;6.5;8.5;7.0;6.0;a;;7.0;7.0;Antonio Carlosa;
1;Ana Beatriz;110212.0;20.0;7.0;7.0;7.0;8.0;a;;7.25;7.25;Ana Beatriza;
2;Uyanê;1;17.0;7.0;7.0;7.0;7.0;a;;7.0;7.0;Uyanêa;
3;Francisco Cunha;110307.0;20.0;9.0;8.5;8.5;10.0;a;;9.0;9.0;Francisco Cunhaa;
4;Uyanê;1;15.0;6.5;7.5;7.0;7.0;a;;7.0;7.0;Uyanêa;
5;Juliana Arruda;110281.0;18.0;7.5;7.0;7.5;8.0;a;;7.5;7.5;Juliana Arrudaa;
6;Joao Galo;110301.0;20.0;5.0;6.5;7.0;5.0;a;;5.875;5.875;Joao Galoa;
7;José Valente;110263.0;20.0;10.0;10.0;10.0;10.0;a;;10.0;10.0;José Valentea;
8;Maria Ferreira;110271.0;19.0;9.5;8.0;7.0;10.0;a;;8.625;8.625;Maria Ferreiraa;
9;Joãozinho;110236.0;100.0;8.0;8.0;8.0;8.0;a;;8.0;8.0;Joãozinhoa;
