;Nome;RA;Frequencia;Prova_1;Prova_2;Prova_3;Prova_4;0;cheia_de_um;aaaa;vazio;média;media_2
0;Antonio Carlos;110201.0;20.0;6.5;8.5;7.0;6.0;0;1;a;;7.0;7.0
1;Ana Beatriz;110212.0;20.0;7.0;7.0;7.0;8.0;0;1;a;;7.25;7.25
2;Carlos Vernes;110218.0;17.0;7.0;7.0;7.0;7.0;0;1;a;;7.0;7.0
3;Francisco Cunha;110307.0;20.0;9.0;8.5;8.5;10.0;0;1;a;;9.0;9.0
4;Sandra Rosa;110275.0;15.0;6.5;7.5;7.0;7.0;0;1;a;;7.0;7.0
5;Juliana Arruda;110281.0;18.0;7.5;7.0;7.5;8.0;0;1;a;;7.5;7.5
6;Joao Galo;110301.0;20.0;5.0;6.5;7.0;5.0;0;1;a;;5.875;5.875
7;José Valente;110263.0;20.0;10.0;10.0;10.0;10.0;0;1;a;;10.0;10.0
8;Maria Ferreira;110271.0;19.0;9.5;8.0;7.0;10.0;0;1;a;;8.625;8.625
9;Adriana Tavares;110236.0;20.0;8.0;8.0;8.0;8.0;0;1;a;;8.0;8.0
10;Joãozinho;;100.0;;;;;0;1;a;;;
